Price,Response,Value,BBU,BBL,SMA
0.927,,11362.557364016531,0.9752200662008672,0.9176599337991327,0.94644
0.92,,11369.916533293745,0.9738425654567113,0.9145174345432887,0.94418
0.925,,11284.05955839293,0.972221682626994,0.9125983173730059,0.94241
0.9218,,11345.38596903637,0.9717953833929179,0.910074616607082,0.940935
0.9166,,11306.137066224566,0.9703432796136272,0.9073267203863725,0.9388349999999999
0.9114,,11242.35759915539,0.9688097539930253,0.9041402460069746,0.936475
0.905,,11178.578132086212,0.9670208923806908,0.900449107619309,0.9337349999999999
0.8998,sellSL,11100.08032646261,0.9662137944812322,0.8958762055187676,0.9310449999999999
0.895,,11036.300859393432,0.9637030976060301,0.8918869023939697,0.9277949999999999
0.9128,,11036.300859393432,0.9583061387319185,0.8924838612680814,0.925395
0.9157,,11036.300859393432,0.9540915334120259,0.8930084665879741,0.92355
0.9232,,11036.300859393432,0.9508394588949187,0.8938805411050814,0.9223600000000001
0.9142,,11036.300859393432,0.9484442391470195,0.8936657608529804,0.921055
0.9222,,11036.300859393432,0.9437666352436739,0.8956633647563258,0.9197149999999998
0.9326,,11036.300859393432,0.9406964295665561,0.8974135704334438,0.919055
0.9298,,11036.300859393432,0.9385251454080372,0.8985648545919627,0.918545
0.9276,,11036.300859393432,0.9381425716450822,0.8987074283549179,0.918425
0.9305,,11036.300859393432,0.9393238250966598,0.8984761749033403,0.9189
0.92,,11036.300859393432,0.9392273269662578,0.8984326730337425,0.9188300000000001
0.9203,,11036.300859393432,0.9386259950002482,0.8984240049997518,0.918525
0.9259,,11036.300859393432,0.9384791663205168,0.898460833679483,0.9184699999999999
0.9205,,11036.300859393432,0.9385134625310051,0.8984765374689946,0.9184949999999998
0.914,,11036.300859393432,0.9378148369659297,0.8980751630340701,0.9179449999999999
0.9236,,11036.300859393432,0.9379944615474255,0.8980755384525744,0.9180349999999999
0.9161,,11036.300859393432,0.9379782801093716,0.8980417198906286,0.9180100000000001
0.9113,,11036.300859393432,0.9379802979030547,0.8980297020969452,0.918005
0.9161,,11036.300859393432,0.9376092326133599,0.8995107673866399,0.9185599999999999
0.9154,,11036.300859393432,0.9363200378153445,0.9023599621846556,0.91934
0.9146,,11036.300859393432,0.9331373566533411,0.907502643346659,0.92032
0.9195,,11036.300859393432,0.9329857873142583,0.9083242126857417,0.920655
0.9224,,11036.300859393432,0.9331163349780549,0.908863665021945,0.92099
0.9184,,11036.300859393432,0.9328821668997839,0.908617833100216,0.92075
0.9245,,11036.300859393432,0.9330972084960812,0.9094327915039188,0.921265
0.9227,,11036.300859393432,0.9331326348419597,0.9094473651580401,0.9212899999999999
0.9196,,11036.300859393432,0.9312296473774602,0.9100503526225399,0.92064
0.923,,11036.300859393432,0.9300551066248993,0.9105448933751005,0.9202999999999999
0.9209,,11036.300859393432,0.9291053731353065,0.9108246268646936,0.919965
0.9193,,11036.300859393432,0.9270831234001133,0.9117268765998867,0.919405
0.9154,,11036.300859393432,0.9270511131209965,0.9112988868790032,0.9191749999999999
0.9078,buy,11036.300859393432,0.927896769776942,0.9092032302230579,0.91855
0.916,,11036.300859393432,0.9267914873104879,0.9093185126895122,0.9180550000000001
0.92,,11135.98985151397,0.9267398492342984,0.9093201507657014,0.9180299999999999
0.918,,11184.618628158136,0.9267314178384054,0.9097285821615946,0.91823
0.918,,11160.304239836054,0.9260669089268215,0.9098330910731783,0.9179499999999999
0.9101,,11160.304239836054,0.9264680437023665,0.9088319562976337,0.9176500000000001
0.9124,,11064.262405963826,0.926368650622299,0.909041349377701,0.917705
0.9023,,11092.223952534221,0.9280817401181245,0.9059482598818753,0.9170149999999999
0.908,,10969.436291507702,0.9284117640769292,0.9048782359230712,0.9166450000000002
0.9074,,11038.73229822564,0.9287358761052977,0.9038341238947023,0.916285
0.9089,,11031.437981729014,0.9285279113031406,0.9029820886968596,0.9157550000000001
0.9095,,11049.673772970576,0.9277724018674434,0.9024475981325566,0.91511
0.9045,,11056.9680894672,0.9278210905247543,0.9010089094752461,0.9144150000000002
0.9043,,10996.182118661993,0.9266547427979009,0.9001552572020991,0.913405
0.9028,,10993.750679829785,0.9257094499292662,0.8991105500707339,0.91241
0.9001,,10975.514888588224,0.9253594994240554,0.8975105005759446,0.911435
0.9088,,10942.69046435341,0.923573079930275,0.897876920069725,0.910725
