gen,evals,dataset_i,avg,std,min,max
217,95,0,[  2.80204531 444.74988612],[1.47520379e+00 1.70727153e+03],[1.62561143e-04 1.23332076e+01],[7.83843706e+00 1.05040323e+04]
218,99,0,[  2.66387512 464.73787428],[1.32155917e+00 1.76867230e+03],[1.62561143e-04 1.91485191e+01],[7.83843706e+00 1.05040323e+04]
219,95,0,[  2.82067345 545.68312519],[1.19563146e+00 2.03394997e+03],[1.62561143e-04 1.91485191e+01],[7.83843706e+00 1.05040323e+04]
220,96,0,[  2.99838484 361.19880462],[1.20299275e+00 1.65327108e+03],[ 0.03484976 19.14851906],[7.83843706e+00 1.31884264e+04]
221,93,0,[  2.91100351 605.24841177],[1.31794830e+00 2.31088546e+03],[ 0.03484976 19.14851906],[7.83843706e+00 1.31884264e+04]
222,96,0,[  2.95051353 603.74997126],[1.34755217e+00 2.31118015e+03],[ 0.03484976 19.14851906],[7.83843706e+00 1.31884264e+04]
223,94,0,[  2.99772747 606.22566129],[1.40407599e+00 2.31103814e+03],[ 0.03484976 19.14851906],[7.83843706e+00 1.31884264e+04]
224,97,0,[  2.96105084 606.85285297],[1.35396098e+00 2.31078697e+03],[ 0.03484976 19.14851906],[7.83843706e+00 1.31884264e+04]
225,96,1,[  1.94683654 443.07506455],[  0.5580083  312.31098583],[ 0.56549893 29.02215756],[   4.00150822 1596.05916091]
226,94,1,[  2.02694518 446.914414  ],[  0.49201554 310.97804307],[ 1.12562428 29.02215756],[   4.00150822 1596.05916091]
227,95,1,[  1.98450007 522.09422867],[  0.56683317 348.45735912],[ 1.12562428 29.02215756],[   4.25753681 1672.59984513]
228,96,1,[  2.02165396 544.95280372],[  0.6616074 373.9385541],[ 1.12562428 29.02215756],[   4.25753681 1672.59984513]
229,99,1,[  2.08752323 577.72619179],[  0.82312222 440.59815407],[ 0.73193685 16.30994819],[   4.43354274 1721.25589663]
230,96,1,[  2.16471848 561.69900134],[  0.87886392 465.13260939],[ 0.74173282 16.30994819],[   4.43354274 1804.83599965]
231,95,1,[  2.33089707 547.38812472],[  1.02472208 509.86032189],[0.78103752 7.83225897],[   4.90958836 1851.6551676 ]
232,94,1,[  2.30387354 630.01323462],[  1.13206233 578.5025326 ],[0.72827642 4.33096904],[   5.99852853 1906.52685654]
233,95,2,[  1.64227858 250.42060618],[  0.9204368  156.42931223],[ 0.49614244 21.5992448 ],[  3.64021216 661.50295563]
234,93,2,[  1.67849453 287.69701242],[  0.96907321 189.76108815],[0.46951426 7.03133465],[  3.65356844 791.30007789]
235,95,2,[  1.56852831 339.62853929],[  0.99157828 217.48953447],[0.16774471 7.79277409],[   3.767813   1141.18781398]
236,98,2,[  1.41730064 424.955318  ],[  1.0269212  347.88971008],[0.08374077 7.79277409],[   3.82161523 2962.7552535 ]
